UID,N,M,i,$\alpha_{i}$,First Contributor,r,$\beta$,$\epsilon$,$\rho_{C},$p_{C}$,Process
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,1,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,2,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,3,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,4,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
ee61f1ae-25c5-4b68-b2f3-531d8f5f0dd9,6,20,5,0.2,2,1.5,0.01,0.001,0.3317654362820536,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,0,19.0,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,1,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,2,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,3,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,4,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
fc7011b4-46ab-428a-9c20-f582e3e58556,6,20,5,0.2,3,1.5,0.01,0.001,0.16567097011588355,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,0,19.0,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,1,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,2,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,3,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,4,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
447679bd-4add-4376-b8a6-3db334c8957b,6,20,5,0.2,4,1.5,0.01,0.001,0.3317654362820535,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,0,19.0,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,1,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,2,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,3,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,4,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
65056802-e620-45ad-ba5d-7d10294a2233,6,20,5,0.2,5,1.5,0.01,0.001,0.33176543628205346,,MP
648109ad-099d-4656-9496-6da2880ca550,6,20,0,9.6,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,1,9.6,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,2,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,3,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,4,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
648109ad-099d-4656-9496-6da2880ca550,6,20,5,0.2,0,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,0,9.6,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,1,9.6,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,2,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,3,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,4,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
9115954d-e87e-471f-b486-d722ef6fb775,6,20,5,0.2,1,1.5,0.01,0.001,0.0923600720498737,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,0,9.6,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,1,9.6,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,2,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,3,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,4,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
581357aa-f159-4a47-af6f-85c802a591ed,6,20,5,0.2,2,1.5,0.01,0.001,0.20876089468555606,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,0,9.6,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,1,9.6,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,2,0.2,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,3,0.2,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,4,0.2,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
4ee1cb3c-ffd4-4950-8d18-a2c2799b0e14,6,20,5,0.2,3,1.5,0.01,0.001,0.0923600720498737,,Fermi
dcee777d-9cef-4f41-899d-fdfbec3bcef9,6,20,0,9.6,4,1.5,0.01,0.001,0.20876089468555606,,Fermi
dcee777d-9cef-4f41-899d-fdfbec3bcef9,6,20,1,9.6,4,1.5,0.01,0.001,0.20876089468555606,,Fermi
dcee777d-9cef-4f41-899d-fdfbec3bcef9,6,20,2,0.2,4,1.5,0.01,0.001,0.20876089468555606,,Fermi
dcee777d-9cef-4f41-899d-fdfbec3bcef9,6,20,3,0.2,4,1.5,0.01,0.001,0.20876089468555606,,Fermi
dcee777d-9cef-4f41-899d-fdfbec3bcef9,6,20,4,0.2,4,1.5,0.01,0.001,0.20876089468555606,,Fermi
dcee777d-9cef-4f41-899d-fdfbec3bcef9,6,20,5,0.2,4,1.5,0.01,0.001,0.20876089468555606,,Fermi
2c04e777-43ef-48cf-8d2a-f59e3a9d418c,6,20,0,9.6,5,1.5,0.01,0.001,0.20876089468555611,,Fermi
2c04e777-43ef-48cf-8d2a-f59e3a9d418c,6,20,1,9.6,5,1.5,0.01,0.001,0.20876089468555611,,Fermi
2c04e777-43ef-48cf-8d2a-f59e3a9d418c,6,20,2,0.2,5,1.5,0.01,0.001,0.20876089468555611,,Fermi
2c04e777-43ef-48cf-8d2a-f59e3a9d418c,6,20,3,0.2,5,1.5,0.01,0.001,0.20876089468555611,,Fermi
2c04e777-43ef-48cf-8d2a-f59e3a9d418c,6,20,4,0.2,5,1.5,0.01,0.001,0.20876089468555611,,Fermi
2c04e777-43ef-48cf-8d2a-f59e3a9d418c,6,20,5,0.2,5,1.5,0.01,0.001,0.20876089468555611,,Fermi
71be274f-ae84-423e-beb1-7b059e75e39e,6,20,0,6.466666666666667,0,1.5,0.01,0.001,0.08539421744449717,,II
71be274f-ae84-423e-beb1-7b059e75e39e,6,20,1,6.466666666666667,0,1.5,0.01,0.001,0.08539421744449717,,II
71be274f-ae84-423e-beb1-7b059e75e39e,6,20,2,6.466666666666667,0,1.5,0.01,0.001,0.08539421744449717,,II
71be274f-ae84-423e-beb1-7b059e75e39e,6,20,3,0.2,0,1.5,0.01,0.001,0.08539421744449717,,II
71be274f-ae84-423e-beb1-7b059e75e39e,6,20,4,0.2,0,1.5,0.01,0.001,0.08539421744449717,,II
71be274f-ae84-423e-beb1-7b059e75e39e,6,20,5,0.2,0,1.5,0.01,0.001,0.08539421744449717,,II
f64179ed-9df8-4f91-b646-fc18526074c6,6,20,0,6.466666666666667,1,1.5,0.01,0.001,0.08539421744449716,,II
f64179ed-9df8-4f91-b646-fc18526074c6,6,20,1,6.466666666666667,1,1.5,0.01,0.001,0.08539421744449716,,II
f64179ed-9df8-4f91-b646-fc18526074c6,6,20,2,6.466666666666667,1,1.5,0.01,0.001,0.08539421744449716,,II
f64179ed-9df8-4f91-b646-fc18526074c6,6,20,3,0.2,1,1.5,0.01,0.001,0.08539421744449716,,II
f64179ed-9df8-4f91-b646-fc18526074c6,6,20,4,0.2,1,1.5,0.01,0.001,0.08539421744449716,,II
f64179ed-9df8-4f91-b646-fc18526074c6,6,20,5,0.2,1,1.5,0.01,0.001,0.08539421744449716,,II
f3949e7a-2884-49d4-827f-9abea02fb29a,6,20,0,6.466666666666667,2,1.5,0.01,0.001,0.1876587617984703,,II
f3949e7a-2884-49d4-827f-9abea02fb29a,6,20,1,6.466666666666667,2,1.5,0.01,0.001,0.1876587617984703,,II
f3949e7a-2884-49d4-827f-9abea02fb29a,6,20,2,6.466666666666667,2,1.5,0.01,0.001,0.1876587617984703,,II
f3949e7a-2884-49d4-827f-9abea02fb29a,6,20,3,0.2,2,1.5,0.01,0.001,0.1876587617984703,,II
f3949e7a-2884-49d4-827f-9abea02fb29a,6,20,4,0.2,2,1.5,0.01,0.001,0.1876587617984703,,II
f3949e7a-2884-49d4-827f-9abea02fb29a,6,20,5,0.2,2,1.5,0.01,0.001,0.1876587617984703,,II
0b80137b-9576-4fbe-b3e7-50f9e37aa2d0,6,20,0,6.466666666666667,3,1.5,0.01,0.001,0.08539421744449716,,II
0b80137b-9576-4fbe-b3e7-50f9e37aa2d0,6,20,1,6.466666666666667,3,1.5,0.01,0.001,0.08539421744449716,,II
0b80137b-9576-4fbe-b3e7-50f9e37aa2d0,6,20,2,6.466666666666667,3,1.5,0.01,0.001,0.08539421744449716,,II
0b80137b-9576-4fbe-b3e7-50f9e37aa2d0,6,20,3,0.2,3,1.5,0.01,0.001,0.08539421744449716,,II
0b80137b-9576-4fbe-b3e7-50f9e37aa2d0,6,20,4,0.2,3,1.5,0.01,0.001,0.08539421744449716,,II
0b80137b-9576-4fbe-b3e7-50f9e37aa2d0,6,20,5,0.2,3,1.5,0.01,0.001,0.08539421744449716,,II
b8b9b74b-f997-4396-a3be-3bbcb52df3f7,6,20,0,6.466666666666667,4,1.5,0.01,0.001,0.18765876179847032,,II
b8b9b74b-f997-4396-a3be-3bbcb52df3f7,6,20,1,6.466666666666667,4,1.5,0.01,0.001,0.18765876179847032,,II
b8b9b74b-f997-4396-a3be-3bbcb52df3f7,6,20,2,6.466666666666667,4,1.5,0.01,0.001,0.18765876179847032,,II
b8b9b74b-f997-4396-a3be-3bbcb52df3f7,6,20,3,0.2,4,1.5,0.01,0.001,0.18765876179847032,,II
b8b9b74b-f997-4396-a3be-3bbcb52df3f7,6,20,4,0.2,4,1.5,0.01,0.001,0.18765876179847032,,II
b8b9b74b-f997-4396-a3be-3bbcb52df3f7,6,20,5,0.2,4,1.5,0.01,0.001,0.18765876179847032,,II
93829af5-fbe2-40d6-8b41-a46c754deb0d,6,20,0,6.466666666666667,5,1.5,0.01,0.001,0.18765876179847038,,II
93829af5-fbe2-40d6-8b41-a46c754deb0d,6,20,1,6.466666666666667,5,1.5,0.01,0.001,0.18765876179847038,,II
93829af5-fbe2-40d6-8b41-a46c754deb0d,6,20,2,6.466666666666667,5,1.5,0.01,0.001,0.18765876179847038,,II
93829af5-fbe2-40d6-8b41-a46c754deb0d,6,20,3,0.2,5,1.5,0.01,0.001,0.18765876179847038,,II
93829af5-fbe2-40d6-8b41-a46c754deb0d,6,20,4,0.2,5,1.5,0.01,0.001,0.18765876179847038,,II
93829af5-fbe2-40d6-8b41-a46c754deb0d,6,20,5,0.2,5,1.5,0.01,0.001,0.18765876179847038,,II
a582307f-8f1b-4916-94c2-892511d63290,6,20,0,4.9,,1.5,0.01,0.001,,0.006900986955138361,Intro
a582307f-8f1b-4916-94c2-892511d63290,6,20,1,4.9,,1.5,0.01,0.001,,0.006900986955138361,Intro
a582307f-8f1b-4916-94c2-892511d63290,6,20,2,4.9,,1.5,0.01,0.001,,0.006900986955138361,Intro
